name,lat,lon,density,tax1,tax2,poor,work1,work2,work3,population,murder,burglar,rape,theft,violance,fire,drug,kidnap,gambling,vio_rape,rape2,assault
청룡동,37.47444889,126.9510679,25069,19307,3449,479,163,594,409,29446,1,1,1,1,1,1,1,1,1,104.7,103.52,105.36
서림동,37.47385913,126.9352629,25732,9627,1950,532,49,246,220,25318,2,4,3,3,3,5,2,3,3,96.1,97.06,96.87
낙성대동,37.47832745,126.9575946,8023,11694,1999,267,75,551,408,17941,5,3,5,4,4,4,3,1,3,98.23,97.98,99.34
난향동,37.46111979,126.9192506,21266,7280,1553,427,27,82,43,16865,4,3,2,2,2,5,4,2,3,87.68,85.45,90.17
남현동,37.47455595,126.9778736,5805,15978,1923,130,63,391,236,19114,1,2,2,2,2,3,2,1,2,112.08,114.56,109.45
은천동,37.48600784,126.934366,46296,15823,3121,1051,99,414,268,35889,4,5,4,4,5,5,4,2,5,94.97,91.89,97.32
미성동,37.47992313,126.9156125,24351,16398,2871,895,95,318,189,33565,3,2,2,2,2,4,2,1,2,91.96,93.63,91.86
성현동,37.48720505,126.9448988,50022,15249,2814,1167,74,148,62,33747,3,2,3,2,2,4,3,3,3,88.81,85.31,91.86
서원동,37.48401782,126.9333185,36882,15715,2459,502,83,530,406,23658,2,4,5,5,4,3,5,3,4,133.75,125.47,134.82
신사동,37.48727794,126.9141931,41605,10446,1782,661,116,360,229,26303,1,3,2,2,2,2,2,1,3,101.39,99.03,102.73
광장동,37.54445602,127.1033166,15319,66671,7967,124,84,424,206,36607,4,5,4,4,5,4,5,3,5,93.44,92.25,94.44
자양3동,37.53385851,127.0716181,25463,29423,5822,255,87,376,232,30625,2,1,3,3,4,3,4,3,3,107.91,113.6,103.2
자양1동,37.53661944,127.0769204,42019,12460,2039,685,127,675,258,24032,3,2,2,1,3,1,2,1,2,96.6,94.56,98.78
자양4동,37.53518575,127.063636,23476,11655,2616,692,138,528,439,26266,4,4,3,2,4,3,2,1,2,104.17,109.93,100.16
중곡1동,37.56372111,127.0827887,26358,10864,2198,444,90,542,240,16422,3,2,2,1,2,3,2,1,2,97.1,100.83,96.23
중곡2동,37.56015047,127.0814764,41595,9916,1784,622,109,326,210,22891,1,3,2,1,3,4,3,1,2,108.91,109.2,107.48
중곡3동,37.56880816,127.0801365,29933,6391,1175,704,94,272,219,17959,1,1,1,1,1,2,1,1,1,102.78,103.25,102.12
중곡4동,37.56533619,127.0872621,13701,11387,1640,1079,86,300,205,31621,2,2,1,1,3,3,2,2,1,94.03,91.87,95.89
화양동,37.54661623,127.071315,21116,24166,5972,315,172,1169,900,24581,5,5,5,5,5,5,5,4,4,190.41,175.72,187.85
구로2동,37.49453161,126.8870136,21064,32246,,775,178,862,605,35832,2,2,1,1,1,1,1,1,1,133.84,129.63,131.42
가리봉동,37.47920893,126.8926625,43938,5182,,587,89,369,257,16391,5,4,2,2,2,3,3,1,4,114.46,118.05,110.29
개봉2동,37.49183145,126.8564507,43329,14913,,592,97,296,161,34449,4,3,3,3,2,3,2,1,2,97.8,99.08,96.93
고척2동,37.50659936,126.8583044,29814,11397,,734,102,303,182,30256,3,2,3,3,3,3,2,2,2,89.81,88.92,91.45
구로3동,37.48666092,126.891399,27530,68500,,290,119,1272,751,27740,1,3,4,3,3,2,4,1,3,109.48,97.49,115.56
구로4동,37.48925157,126.8906987,62285,12302,,662,133,553,406,27737,4,5,4,4,5,4,5,3,5,105.36,90.18,113.19
구로5동,37.50227003,126.8838942,34047,32255,,312,136,882,511,34472,4,4,5,5,5,5,4,2,4,106.58,94.83,112.11
오류1동,37.49481449,126.8388404,37192,12535,,596,101,353,218,21701,2,4,4,3,4,4,3,2,2,103.18,99.66,104.85
오류2동,37.48387283,126.8425731,9968,20401,,955,83,347,193,45700,1,1,2,1,1,1,1,1,1,103.36,106.67,100.62
가산동,37.47993628,126.8880577,9321,131024,10947,468,148,1652,1084,23199,3,1,4,4,2,3,5,3,3,130.1,126.77,128.06
시흥1동,37.45415629,126.899796,22409,26408,4247,1223,174,157,616,37913,2,3,3,2,3,2,2,2,2,100.57,98.43,101.93
독산1동,37.46466496,126.8948129,17608,40395,6143,1258,126,714,429,38892,1,2,1,1,1,1,4,1,4,96.81,93.43,99.32
독산4동,37.4695342,126.9034607,32471,6612,1120,743,78,240,212,18957,1,4,5,5,5,2,3,2,5,119.76,131.37,110.53
시흥5동,37.45104173,126.9125935,16465,7113,1129,1240,83,243,183,22133,2,2,2,3,4,4,1,1,1,110.4,118.46,104.29
하계1동,37.64222205,127.071412,19299,14308,2551,2539,47,364,170,30073,1,1,1,1,1,1,1,1,1,96.46,95.18,97.53
"상계6,7동",37.65500498,127.0669157,32967,23534,4191,734,104,545,327,36244,2,5,5,5,5,4,4,1,4,97.95,96.04,99.17
"상계3,4동",37.67150378,127.0778753,5369,11252,2310,2014,130,378,241,28192,3,4,2,2,3,3,5,1,2,91.77,91.76,92.71
"중계2,3동",37.64201919,127.0683544,43936,12260,2055,4120,67,365,168,38969,4,3,4,4,4,5,3,1,5,97.66,92.1,100.94
상계9동,37.66458604,127.0636194,28765,6772,1130,298,36,135,61,23027,2,4,3,3,3,4,2,1,2,88.02,85.82,90.37
중계1동,37.65243622,127.0773389,46608,15671,2806,607,58,280,123,28895,1,2,2,3,3,3,3,1,2,88.92,86.05,91.48
상계1동,37.67967996,127.0550485,7545,22639,3597,1049,127,591,354,42047,2,2,3,2,2,2,4,1,3,90.78,89.02,92.95
월계3동,37.63368097,127.0592879,28991,13857,2958,1642,48,209,88,33490,2,5,4,4,4,4,5,1,3,90.23,87.51,92.61
공릉1동,37.62256853,127.0745984,28525,20633,3303,1789,147,711,431,40272,5,2,4,4,4,3,4,2,4,95.58,92.06,98.19
