name,lat,lon,density,tax1,tax2,poor,work1,work2,work3,population,murder,burglar,rape,theft,violance,fire,drug,kidnap,gambling,vio_rape,rape2,assault
응암3동,37.59052771,126.9175349,43098,11014,1833,1252,113,335,412,26764,1,3,2,2,2,1,1,1,1,103.15,99.23,104.97
대조동,37.61114621,126.9289829,39394,20633,3034,1222,181,847,530,33501,2,4,3,3,3,1,2,1,2,107.94,112.89,104.17
불광2동,37.62141961,126.9265808,21653,10012,1797,1405,123,287,219,30125,2,2,4,4,4,3,4,3,3,96.17,92.54,98.67
역촌동,37.60458862,126.9150642,43624,20087,2794,1506,186,691,378,50615,1,3,2,2,2,2,3,2,2,94.54,92.32,96.5
갈현2동,37.61521137,126.9127098,32219,12807,2011,1002,107,365,317,30982,3,5,5,5,5,4,5,1,4,100.02,93.77,103.36
진관동,37.63994738,126.9208522,4667,30526,5866,716,78,569,216,54954,2,1,1,1,1,1,1,1,1,89.16,87.4,91.06
이화동,37.57861279,127.0060453,11445,20860,1791,184,21,502,359,8794,2,1,5,4,3,4,2,1,2,109.1,104.54,111
창신2동,37.57598518,127.010528,41158,10068,597,380,26,108,116,10338,1,2,1,2,2,4,2,1,1,120.28,119.18,118.27
숭인2동,37.57269758,127.0171188,28994,26603,2056,303,53,155,266,10113,2,3,4,5,5,4,5,1,3,116.65,105.24,121.37
혜화동,37.58927708,126.9975996,18219,24340,2454,218,72,845,632,20668,1,1,3,3,2,2,3,1,2,145.85,119.6,155.52
"종로5,6가동",37.57074185,127.0016346,9625,78292,4311,228,66,773,628,5733,3,5,5,4,5,5,4,1,5,171.59,125.93,188.78
창신3동,37.57849324,127.0135397,33709,7243,464,183,13,34,27,7546,4,4,3,3,4,1,3,1,3,89.12,87.47,91.17
혜화동,37.58610921,127.0014085,18219,24340,2454,218,72,845,632,20668,1,1,2,2,1,1,3,1,1,145.85,119.6,155.52
청운효자동,37.58147415,126.969428,5491,19314,2056,188,16,378,246,13734,1,1,2,1,1,3,1,1,2,89.89,84.52,94.15
"종로1,2,3,4가동",37.57050348,126.9889249,3714,193980,24936,563,279,3146,2304,8571,4,4,5,5,5,5,5,3,5,494.34,311.05,548.89
평창동,37.60524877,126.9666338,2194,32937,4576,124,42,248,155,19233,2,2,2,2,2,2,2,1,2,90.3,90.57,91.18
사직동,37.57630584,126.9686196,8141,84998,11872,102,100,1277,856,9687,3,3,3,1,2,1,3,1,5,112.17,88.92,124.07
삼청동,37.58140812,126.9811207,2093,13835,2255,50,4,368,261,3137,2,2,3,3,2,3,2,2,1,113.23,95.08,122.15
명동,37.5689483275493,126.9764285,3560,390815,23508,57,237,2102,1294,3494,2,2,4,3,2,2,1,1,2,433.38,230.34,507.44
신당동/신당1동,37.56526665,127.0133788,17144,26962,2977,248,101,1052,342,9550,3,4,4,5,5,5,4,2,5,115.76,114.85,116.05
신당5동,37.56504283,127.0163851,26062,5094,998,266,43,185,221,9944,1,3,2,3,3,3,5,2,3,106.75,92.84,113.84
약수동/신당3동,37.55214464,127.0123806,39158,12361,2604,585,53,147,137,18465,2,1,3,4,4,4,2,1,2,93.71,89.05,97.05
광희동,37.56647468,127.0039435,8150,59406,7108,122,123,1149,682,5893,1,2,5,5,4,3,4,1,4,366.91,171.54,444.36
을지로동,37.5661826,126.9928464,3043,40362,34374,84,68,815,570,1801,1,2,2,4,2,3,3,1,5,266.74,167.16,303.91
장충동,37.55876212,127.0048033,4298,34599,32370,94,26,206,167,5689,1,1,1,1,1,1,1,1,1,116.47,107.51,120.07
필동,37.56087984,126.9915898,4491,40138,34876,94,67,810,476,4897,1,1,3,2,2,2,2,1,2,148.01,120.52,157.76
회현동,37.55901213,126.9763909,7295,261845,10452,486,125,1595,655,5968,1,2,2,3,3,3,1,1,1,250.94,124.63,304.52
소공동,37.56382687,126.9754658,2733,357167,21770,16,95,1257,743,2711,2,1,2,1,2,1,1,1,1,441.91,223.26,523.29
중림동,37.55788907,126.9671153,18546,12728,1871,431,55,306,212,10660,3,1,3,2,4,3,2,1,4,108.68,106.64,108.87
명동,37.56800835,126.9799921,3560,390815,23508,57,237,2102,1294,3494,3,2,5,5,5,2,4,2,4,433.38,230.34,507.44
신내1동,37.61825356,127.1044698,16610,14777,2259,863,92,386,234,41820,1,1,1,1,1,1,1,1,1,91.96,90.83,93.27
망우본동,37.59911376,127.0956532,11470,32613,2094,1423,151,510,459,32603,5,5,4,4,4,4,4,2,5,114.35,120.95,108.79
묵1동,37.61461362,127.0815357,28763,20512,3201,646,101,423,243,36126,2,1,3,3,2,1,5,1,2,100.53,96.14,102.85
면목본동,37.58820183,127.0938799,36474,14056,2094,1423,159,542,379,36937,3,3,4,3,4,5,5,1,3,101.91,101.31,102.21
"면목3,8동",37.58320685,127.0841552,16849,10960,1793,1107,109,496,397,27826,4,2,2,2,2,2,2,1,2,124.79,120.73,123.82
신내2동,37.61478332,127.0955307,23748,9818,1612,1041,62,214,122,23172,2,4,3,3,3,3,4,2,5,90.77,86.15,94.27
면목2동,37.59132691,127.0728507,37567,11036,1807,937,125,450,244,27231,3,4,5,5,5,5,5,3,3,100.65,109.92,95.59
면목5동,37.58094288,127.0799367,16913,4589,851,407,37,150,92,10526,4,3,4,3,3,4,5,1,3,91.69,89.05,94.34
중화2동,37.59798743,127.0722094,29161,10672,1966,1332,119,499,404,28706,4,3,3,4,4,4,3,1,4,108.88,115.79,104.09
