name,lat,lon,density,tax1,tax2,poor,work1,work2,work3,population,murder,burglar,rape,theft,violance,fire,drug,kidnap,gambling
번1동,37.63597627,127.0325792,36971,33325,2621,717,129,583,355,20043,5,2,4,4,4,5,4,2,4
삼양동,37.62482703,127.0182211,31313,11304,1752,1491,125,354,145,29263,1,1,1,2,2,3,1,1,2
송중동,37.61631011,127.0304005,24025,15872,3123,948,128,690,463,30333,2,5,4,4,4,3,3,1,3
수유1동,37.63067445,127.0175822,21350,12072,1542,1113,140,571,252,22552,3,5,3,3,2,4,5,1,3
수유2동,37.64092053,127.0170997,30647,10634,1497,928,96,414,193,22496,2,5,2,3,3,2,2,1,5
수유3동,37.6443353,127.0265866,28053,13786,2283,895,156,971,649,24266,3,4,5,5,5,2,2,1,5
인수동,37.63526203,127.0191241,11293,12711,1586,1636,101,392,222,33110,2,2,2,2,2,2,3,1,3
등촌3동,37.55924734,126.8501297,44256,30593,5034,5271,100,591,316,34214,3,4,4,4,4,5,4,3,3
화곡4동,37.53291073,126.8631377,28435,10088,1543,560,94,421,242,23147,2,2,3,4,4,3,2,1,3
방화2동,37.56236911,126.8082803,3906,13034,2381,1116,95,590,323,24901,5,4,4,5,5,4,4,1,5
화곡1동,37.52934303,126.8458031,48594,25769,4082,1081,257,1006,657,54822,3,5,4,4,4,3,3,1,4
등촌2동,37.54480966,126.8618712,23991,13442,2595,262,50,183,106,22151,3,1,2,2,2,1,2,1,1
발산1동,37.54940786,126.826044,13487,16918,2881,848,110,579,253,39548,5,2,3,3,3,4,2,2,2
방화3동,37.57980456,126.814684,10832,10419,1953,1692,59,200,90,25517,1,1,2,2,2,2,3,1,2
염창동,37.55189424,126.8674034,23630,39112,6825,129,113,484,261,40981,1,3,4,3,3,2,2,1,1
화곡6동,37.55170036,126.8499487,23033,30533,4368,536,115,695,481,25121,4,4,5,4,5,2,5,2,5
화곡3동,37.5446709,126.83518,45471,14783,2753,361,85,390,223,22949,2,1,2,2,2,2,1,1,2
청룡동,37.47444889,126.9510679,25069,19307,3449,479,163,594,409,29446,1,1,1,1,1,1,1,1,1
서림동,37.47385913,126.9352629,25732,9627,1950,532,49,246,220,25318,2,4,3,3,3,5,2,3,3
낙성대동,37.47832745,126.9575946,8023,11694,1999,267,75,551,408,17941,5,3,5,4,4,4,3,1,3
난향동,37.46111979,126.9192506,21266,7280,1553,427,27,82,43,16865,4,3,2,2,2,5,4,2,3
남현동,37.47455595,126.9778736,5805,15978,1923,130,63,391,236,19114,1,2,2,2,2,3,2,1,2
은천동,37.48600784,126.934366,46296,15823,3121,1051,99,414,268,35889,4,5,4,4,5,5,4,2,5
미성동,37.47992313,126.9156125,24351,16398,2871,895,95,318,189,33565,3,2,2,2,2,4,2,1,2
성현동,37.48720505,126.9448988,50022,15249,2814,1167,74,148,62,33747,3,2,3,2,2,4,3,3,3
서원동,37.48401782,126.9333185,36882,15715,2459,502,83,530,406,23658,2,4,5,5,4,3,5,3,4
신사동,37.48727794,126.9141931,41605,10446,1782,661,116,360,229,26303,1,3,2,2,2,2,2,1,3
광장동,37.54445602,127.1033166,15319,66671,7967,124,84,424,206,36607,4,5,4,4,5,4,5,3,5
자양3동,37.53385851,127.0716181,25463,29423,5822,255,87,376,232,30625,2,1,3,3,4,3,4,3,3
자양1동,37.53661944,127.0769204,42019,12460,2039,685,127,675,258,24032,3,2,2,1,3,1,2,1,2
자양4동,37.53518575,127.063636,23476,11655,2616,692,138,528,439,26266,4,4,3,2,4,3,2,1,2
중곡1동,37.56372111,127.0827887,26358,10864,2198,444,90,542,240,16422,3,2,2,1,2,3,2,1,2
중곡2동,37.56015047,127.0814764,41595,9916,1784,622,109,326,210,22891,1,3,2,1,3,4,3,1,2
중곡3동,37.56880816,127.0801365,29933,6391,1175,704,94,272,219,17959,1,1,1,1,1,2,1,1,1
