name,lat,lon
삼전동,37.5026727,127.0927504
잠실4동,37.52014217,127.1125634
오금동,37.50689961,127.1281016
잠실2동,37.51209786,127.0821389
풍납2동,37.52875526,127.1167714
신월5동,37.53980174,126.8299813
신정6동,37.51658213,126.8655777
목5동,37.53515476,126.8784576
목3동,37.54452912,126.8623651
신월1동,37.5320564,126.8322526
신월7동,37.52054101,126.834387
신월5동,37.53907473,126.8306754
신정1동,37.52030115,126.8607671
신정4동,37.52445264,126.863574
신정3동,37.51492061,126.8549858
당산1동,37.52585046,126.9011333
당산2동,37.5336155,126.9012647
대림2동,37.49343217,126.8987032
대림3동,37.49831505,126.8980362
문래동,37.51358134,126.8976489
신길1동,37.51345081,126.9141879
신길6동,37.49909092,126.9127864
양평1동,37.52267886,126.8895497
여의도동,37.52961916,126.9266935
영등포본동,37.51535403,126.9057273
영등포동(3가),37.51801161,126.9075157
보광동,37.52671546,127.0002474
한강로동,37.53610839,126.97471
후암동,37.54915922,126.9784808
원효로1동,37.53877894,126.9659636
이촌1동,37.52079789,126.9717152
이태원1동,37.53431257,126.9944018
용산2가동,37.52404281,126.9703285
한남동,37.53108335,127.0063447
녹번동,37.60881253,126.9318346
신사2동,37.59177996,126.9053592
응암1동,37.60163381,126.9264462
응암3동,37.59052771,126.9175349
대조동,37.61114621,126.9289829
불광2동,37.62141961,126.9265808
역촌동,37.60458862,126.9150642
갈현2동,37.61521137,126.9127098
진관동,37.63994738,126.9208522
이화동,37.57861279,127.0060453
창신2동,37.57598518,127.010528
숭인2동,37.57269758,127.0171188
혜화동,37.58927708,126.9975996
"종로5,6가동",37.57074185,127.0016346
창신3동,37.57849324,127.0135397
혜화동,37.58610921,127.0014085
청운효자동,37.58147415,126.969428
"종로1,2,3,4가동",37.57050348,126.9889249
평창동,37.60524877,126.9666338
사직동,37.57630584,126.9686196
삼청동,37.58140812,126.9811207
명동,37.56894833,126.9764285
신당동/신당1동,37.56526665,127.0133788
신당5동,37.56504283,127.0163851
약수동/신당3동,37.55214464,127.0123806
광희동,37.56647468,127.0039435
을지로동,37.5661826,126.9928464
장충동,37.55876212,127.0048033
필동,37.56087984,126.9915898
회현동,37.55901213,126.9763909
소공동,37.56382687,126.9754658
중림동,37.55788907,126.9671153
명동,37.56800835,126.9799921
신내1동,37.61825356,127.1044698
망우본동,37.59911376,127.0956532
묵1동,37.61461362,127.0815357
면목본동,37.58820183,127.0938799
"면목3,8동",37.58320685,127.0841552
신내2동,37.61478332,127.0955307
면목2동,37.59132691,127.0728507
면목5동,37.58094288,127.0799367
중화2동,37.59798743,127.0722094
